StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q8.6,Q8.7,Q10.3_First Click,Q10.3_Last Click,Q10.3_Page Submit,Q10.3_Click Count,Q10.5_First Click,Q10.5_Last Click,Q10.5_Page Submit,Q10.5_Click Count,Q10.6,Q10.7,Q138_First Click,Q138_Last Click,Q138_Page Submit,Q138_Click Count,Q141,Q142,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q140,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q.20.4,Q20.5,Q18.4,Q18.5,Q19.2_1,Q19.3,Q19.4,Q19.4_12_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6
2/1/2021 5:34,2/1/2021 5:36,0,100,66,1,2/1/2021 5:36,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 6.1,1600x900,,,,,,,,,6,6,7,2,2,7,3,5,,,,,7,7,2,3,5,3,1.152,1.152,1.472,1,0,0,0.968,0,5,2,,,,,,,,,,,,,,,,,0,0,1.273,0,4,6,7,2,2,7,6,4,sa,2,3,2,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:34,2/1/2021 5:37,0,100,159,1,2/1/2021 5:37,anonymous,SV,1,Safari iPhone,Unknown,iPhone,375x667,1,1,1,1,1,1,1,1,,,,,,,,,5,5,5,5,,,,,6,6,,,,,,,,,,,0.824,1.323,1.848,2,0.585,1.104,1.55,2,7,2,,,,,,,5.389,5.389,7.046,1,2,3,5,2,1,2,2,1,Jag tycker bara att det är så ,2,3,4,4,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:36,2/1/2021 5:38,0,100,117,1,2/1/2021 5:38,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,,,,,,,,,6,6,6,6,6,7,6,7,,,,,6,7,7,7,7,7,0,0,1.291,0,0,0,0.777,0,7,7,,,,,,,,,,,,,,,,,0,0,1.154,0,7,7,7,7,6,7,7,4,det verkar bra,4,3,4,,,2,7,99,7,7,7,,,,1,2,7,6,5,5,5,5,4,,2,1,,27,1,6,,2,8,1,,12,1,,1,den var intressant
2/1/2021 5:37,2/1/2021 5:39,0,100,111,1,2/1/2021 5:39,anonymous,SV,1,Chrome,87.0.4280.152,CrOS x86_64 13505.111.0,1366x768,,,,,,,,,2,1,2,3,4,5,5,5,,,,,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,0,0,1.49,0,7,7,0,0,2.312,0,7,7,7,7,7,7,7,3,jjjju,3,2,4,4,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:38,2/1/2021 5:39,0,100,108,1,2/1/2021 5:39,anonymous,SV,1,Chrome,86.0.4240.199,CrOS x86_64 13421.102.0,1366x768,,,,,,,,,1,3,2,3,4,1,4,3,,,,,1,3,4,2,2,3,1.389,1.389,2.287,1,1.366,1.366,2.326,1,4,7,,,,,,,,,,,,,,,,,1.727,1.727,2.69,1,3,3,5,4,6,3,4,3,för att jag vill,1,3,4,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 5:38,2/1/2021 5:41,0,100,168,1,2/1/2021 5:41,anonymous,SV,1,Safari iPhone,Unknown,iPhone,414x896,4,3,4,4,4,4,3,3,,,,,,,,,4,4,4,6,,,,,3,4,1.644,1.644,5.168,1,0.563,0.563,4.76,1,5,6,,,,,,,,,,,,,,,,,0.904,0.904,10.801,1,5,5,6,5,4,4,5,2,Kan jag inte är så ,3,2,3,3,Hj,3,7,99,,,,4,5,4,2,2,3,4,5,5,6,5,5,,3,2,Jag är det var inte ,31,1,4,,2,8,1,,21,1,,1,
2/1/2021 5:35,2/1/2021 5:42,0,100,388,1,2/1/2021 5:42,anonymous,SV,1,Chrome,88.0.4324.93,Android 9,360x640,4,4,4,4,4,4,4,4,,,,,,,,,4,4,4,7,,,,,4,4,,,,,,,,,,,0.73,0.73,1.755,1,0.6,1.1,1.94,2,4,4,,,,,,,0.811,2.007,2.622,3,4,1,4,4,1,4,1,1,P.g.a bieffekterna,1,1,1,,,2,7,99,,,,7,4,1,2,2,7,1,5,4,1,4,4,,2,1,,30,1,6,,2,5,1,,12,1,,3,Nej inget speciellt 
2/1/2021 5:34,2/1/2021 5:42,0,100,485,1,2/1/2021 5:42,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 10.0,1536x864,,,,,,,,,4,3,3,5,2,4,4,4,,,,,3,5,4,4,4,4,,,,,,,,,,,0,0,13.228,0,0,0,7.015,0,7,4,,,,,,,0,0,7.834,0,4,7,6,3,4,4,4,2,onödigt,4,4,4,1,,4,7,99,4,1,4,,,,2,2,2,2,4,3,1,1,4,,,1,,59,1,2,,2,2,1,,18,2,finska,3,nej
2/1/2021 5:34,2/1/2021 5:44,0,100,589,1,2/1/2021 5:44,anonymous,SV,1,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,,,,,,,,,1,1,1,3,1,2,1,3,,,,,2,5,5,3,2,2,4.769,11.201,25.944,3,3.536,9.457,21.903,3,7,6,,,,,,,,,,,,,,,,,9.856,10.416,17.711,2,3,6,6,4,4,5,3,3,man får hoppas på det bästa att allt är rätt,2,2,2,,,1,7,99,7,6,2,,,,1,1,3,2,3,1,2,1,2,de är opersonliga och flera hamnar bara i samma stora fack,3,2,självklart för att de vill snabba på deras arbete,35,2,6,,1,5,1,,11,1,,1,
2/1/2021 5:34,2/1/2021 5:45,0,100,615,1,2/1/2021 5:45,anonymous,SV,1,Edge,88.0.705.56,Windows NT 10.0,1366x768,,,,,,,,,4,4,4,4,2,4,4,4,,,,,4,4,4,1,1,1,0,0,24.881,0,0,0,30.67,0,4,3,,,,,,,,,,,,,,,,,0,0,45.231,0,4,2,1,6,6,6,6,4,Har redan tagit den första dosen av Pfizers och BioNTechs vaccin och har då ingen anledning till att inte ta nästa dos från dem. Det var också det enda som fanns levererat när jag fick min första dos.,1,1,3,,,1,7,99,1,1,4,,,,2,2,1,1,4,1,1,2,1,Det kan ge felaktigt resultat,,1,,49,2,4,,1,1,1,,18,1,,1,
