StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q8.6,Q8.7,Q10.3_First Click,Q10.3_Last Click,Q10.3_Page Submit,Q10.3_Click Count,Q10.5_First Click,Q10.5_Last Click,Q10.5_Page Submit,Q10.5_Click Count,Q10.6,Q10.7,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q86,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q20.4,Q20.5,Q18.4,Q18.5,Q19.2_1,Q19.3,Q19.4,Q19.4_8_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6
2/10/2021 6:36,2/10/2021 6:38,0,100,99,1,2/10/2021 6:38,anonymous,FR,1,Chrome,88.0.4324.96,Macintosh,1366x768,,,,,,,,,,7,7,7,7,7,6,7,7,7,,,,,7,7,7,7,7,7,,,,,,,,,,,0,0,1.126,0,0.843,0.843,1.545,1,7,7,0,0,23.315,0,7,7,7,7,7,7,7,4,tres bien,4,4,4,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 6:36,2/10/2021 6:38,0,100,144,1,2/10/2021 6:38,anonymous,FR,1,Chrome,88.0.4324.150,Windows NT 10.0,1920x1080,,,,,,,,,,4,5,5,6,7,6,5,6,7,,,,,5,5,6,6,5,5,0,0,1.39,0,0,0,1.097,0,4,4,,,,,,,,,,,0,0,9.733,0,5,5,5,5,5,4,4,3,bonne,2,2,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 6:36,2/10/2021 6:38,0,100,129,1,2/10/2021 6:38,anonymous,FR,1,Safari iPhone,14.0.3,iPhone,414x896,5,4,5,5,6,3,5,4,6,,,,,,,,,,6,5,1,4,,,,,5,5,,,,,,,,,,,1.748,1.748,10.797,1,1.139,1.139,7.844,1,5,5,1.376,2.465,8.179,2,4,4,5,6,5,5,5,3,Je trouve cet été rempli apparié et ,3,3,3,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 6:36,2/10/2021 6:39,0,100,192,1,2/10/2021 6:39,anonymous,FR,1,Chrome,88.0.4324.150,Windows NT 10.0,1366x768,,,,,,,,,,6,6,6,6,6,6,6,5,6,,,,,5,5,6,6,6,6,,,,,,,,,,,0,0,1.388,0,0,0,1,0,6,5,0,0,1.191,0,4,4,4,4,4,4,4,2,Beaucoup d'attente,3,3,3,,,3,7,99,5,5,1,,,,2,2,4,4,2,4,4,4,4,,2,1,algorithme,46,2,4,,2,8,1,,8,1,,1,Enquête intéressante
2/10/2021 6:36,2/10/2021 6:39,0,100,207,1,2/10/2021 6:39,anonymous,FR,1,Firefox,85,Windows NT 10.0,1536x864,,,,,,,,,,7,6,7,6,7,7,7,7,7,,,,,7,6,7,7,7,7,0.719,0.719,6.636,1,0.602,11.002,11.333,2,7,6,,,,,,,,,,,0.517,0.517,15.201,1,6,6,7,6,6,5,7,4,J'aime bien oui c'est le top,4,4,3,,,2,7,99,6,5,7,,,,1,1,7,6,6,5,5,5,6,,2,1,non aucun,34,1,5,,2,8,1,,10,1,,1,non
2/10/2021 6:38,2/10/2021 6:40,0,100,96,1,2/10/2021 6:40,anonymous,FR,1,Chrome,63.0.3233.0,Windows NT 10.0,1280x720,,,,,,,,,,4,4,4,4,4,4,4,4,4,,,,,4,4,4,4,4,4,0,0,2.357,0,1.263,1.263,2.967,1,1,1,,,,,,,,,,,0,0,1.912,0,1,1,1,1,1,1,1,1,rin,1,1,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 6:37,2/10/2021 6:40,0,100,197,1,2/10/2021 6:40,anonymous,FR,1,Chrome,88.0.4324.150,Windows NT 10.0,1920x1080,,,,,,,,,,7,6,6,7,6,6,7,6,6,,,,,7,6,6,5,7,6,,,,,,,,,,,0,0,14.716,0,0,0,87.527,0,6,7,0,0,1.268,0,6,6,6,6,7,7,7,4,car j'aimerais etre rassuré en ce qui concerne le virus,4,4,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 6:37,2/10/2021 6:40,0,100,193,1,2/10/2021 6:40,anonymous,FR,1,Chrome,88.0.4324.93,Android 10,360x800,4,4,4,4,4,5,4,4,4,,,,,,,,,,4,4,4,4,,,,,4,4,,,,,,,,,,,1.566,2.931,3.902,2,0.636,1.208,2.386,2,5,4,0.965,2.427,3.372,3,5,4,5,4,4,5,5,4,Je pris déjà la première dose ,3,3,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 6:36,2/10/2021 6:40,0,100,239,1,2/10/2021 6:40,anonymous,FR,1,Chrome,88.0.4324.146,Windows NT 6.1,1152x720,,,,,,,,,,6,6,6,7,2,6,6,2,2,,,,,2,2,2,6,3,3,0,0,17.014,0,0,0,12.271,0,3,6,,,,,,,,,,,0,0,9.1,0,3,6,6,1,5,6,4,3,labo françaix soumis à des regles plus strictes,3,3,3,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 6:36,2/10/2021 6:41,0,100,277,1,2/10/2021 6:41,anonymous,FR,1,Chrome,88.0.4324.150,Windows NT 10.0,1366x768,,,,,,,,,,2,1,1,2,2,2,1,1,1,,,,,5,6,2,5,5,3,,,,,,,,,,,0,0,10.087,0,0,0,8.815,0,6,6,0,0,3.467,0,6,4,5,5,5,5,6,3,j'ai confiance en ce vaccin même s'il y existe des risques,2,2,2,,,1,7,,4,2,5,,,,2,2,4,3,2,1,3,4,5,,1,2,,45,2,3,,2,2,1,,4,1,,1,non
