StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q8.6,Q8.7,Q10.3_First Click,Q10.3_Last Click,Q10.3_Page Submit,Q10.3_Click Count,Q10.5_First Click,Q10.5_Last Click,Q10.5_Page Submit,Q10.5_Click Count,Q10.6,Q10.7,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q160,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q20.4,Q20.5,Q18.4,Q18.5,Q19.2_8,Q19.3,Q19.4,Q19.4_9_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6
1/28/2021 6:41,1/28/2021 6:45,0,100,252,1,1/28/2021 6:45,anonymous,EN-GB,1,Chrome,80.0.3987.119,Android 9.0,1024x600,7,7,7,7,7,,7,7,7,,,,,,,,,,7,7,7,7,,,,,7,7,36.832,36.832,38.285,1,4.139,4.139,5.493,1,7,7,,,,,,,,,,,1.556,1.949,3.264,2,7,7,7,7,7,7,,4,dfgffdf,3,3,3,4,liioh,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2021 6:43,1/28/2021 6:48,0,100,332,1,1/28/2021 6:48,anonymous,EN-GB,1,Chrome,88.0.4324.93,Android 10,412x915,6,7,6,7,5,,7,7,7,,,,,,,,,,5,7,7,4,,,,,5,4,,,,,,,,,,,0,0,28.991,0,10.21,15.2,17.946,2,7,6,17.193,17.193,18.682,1,7,5,6,7,7,7,,4,"I firmly believe in the efficiency and safety of vaccines. If it has been tested safe until now, I see no reason to not receive it.",4,4,4,,,2,7,99,,,,6,6,6,1,2,1,1,2,4,7,4,4,,1,2,,33,2,5,,2,9,1,,31,1,,2,
1/28/2021 6:43,1/28/2021 6:49,0,100,335,1,1/28/2021 6:49,anonymous,EN-GB,1,Safari iPhone,14.0.2,iPhone,375x667,4,4,3,6,1,,3,3,5,,,,,,,,,,3,2,1,1,,,,,4,5,,,,,,,,,,,0.629,7.216,10.723,3,0.708,0.708,4,1,7,7,4.631,5.099,6.434,2,5,6,6,4,4,4,,3,I have a nut allergy and carry an epipen ,3,3,3,,,2,7,99,,,,7,7,1,2,2,1,1,4,4,4,4,4,,2,2,,23,2,7,,2,3,1,,21,1,,1,
1/28/2021 6:42,1/28/2021 6:49,0,100,407,1,1/28/2021 6:49,anonymous,EN-GB,1,Safari iPhone,14.0.3,iPhone,375x812,5,5,5,6,5,,5,6,6,,,,,,,,,,6,5,1,4,,,,,6,6,2.515,5.608,22.739,2,3.331,6.052,16.381,2,7,5,,,,,,,,,,,7.896,25.864,35.509,7,7,2,3,7,7,5,,3,"I believe it may better , because its been tested for a long time and its re maked for better quality",3,3,4,,,2,7,99,,,,6,7,5,1,2,3,1,3,7,1,4,7,,1,2,,25,2,8,,2,8,1,,7,1,,2,
1/28/2021 6:42,1/28/2021 6:49,0,100,399,1,1/28/2021 6:49,anonymous,EN-GB,1,Chrome,87.0.4280.141,Android 9,360x780,4,4,4,7,6,,4,4,7,,,,,,,,,,2,4,3,3,,,,,5,4,,,,,,,,,,,4.794,17.785,29.624,5,1.916,18.002,19.705,3,7,5,1.398,25.259,26.232,9,4,3,4,4,4,4,,1,I would like to wait to see long term affects ,3,3,3,,,2,7,99,,,,5,4,4,1,2,1,1,4,4,4,5,4,,1,1,Surveys ,22,2,3,,2,2,1,,26,1,,1,No
1/28/2021 6:41,1/28/2021 6:49,0,100,471,1,1/28/2021 6:49,anonymous,EN-GB,1,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,,,,,,,,,,4,5,5,5,2,,5,5,6,,,,,3,5,1,4,4,3,0,0,41.59,0,8.733,8.733,9.343,1,6,4,,,,,,,,,,,0,0,58.531,0,6,5,5,5,4,6,,4,I am a health care worker . i would take the vaccine as safeguarding for the vulnerable people i work with,3,4,3,,,2,7,99,7,7,4,,,,1,1,1,2,4,5,2,5,6,,1,2,,29,2,7,,1,4,1,,30,1,,1,
1/28/2021 6:42,1/28/2021 6:50,0,100,455,1,1/28/2021 6:50,anonymous,EN-GB,1,Firefox,85,Macintosh,1792x1120,,,,,,,,,,6,6,6,6,6,,5,6,7,,,,,5,6,5,3,5,5,,,,,,,,,,,8.528,8.528,10.211,1,8.678,12.623,14.555,2,6,2,16.77,16.77,20.694,1,7,5,3,7,7,7,,4,I am going to put my faith in scientists,4,3,3,,,1,7,99,5,3,6,,,,2,2,2,3,2,6,5,2,3,The algorithm contains the biases of the person who programmed it.,1,2,,27,1,7,,2,3,1,,7,1,,3,
1/28/2021 6:41,1/28/2021 6:50,0,100,552,1,1/28/2021 6:50,anonymous,EN-GB,1,Edge,88.0.705.50,Windows NT 10.0,1280x720,,,,,,,,,,5,5,6,7,6,,5,4,5,,,,,5,7,5,3,4,3,0,0,51.148,0,0,0,21.274,0,7,5,,,,,,,,,,,0,0,27.779,0,4,6,5,4,4,6,,3,Even though I feel a little reluctant and nevous I think it's better to be vaccinated so as to bring covid under control,3,4,4,,,1,7,99,5,6,5,,,,2,1,4,2,5,5,4,5,4,,1,2,,47,2,6,,2,8,1,,9,1,,1,
1/28/2021 6:43,1/28/2021 6:50,0,100,428,1,1/28/2021 6:50,anonymous,EN-GB,1,Chrome,88.0.4324.104,Windows NT 10.0,1366x768,,,,,,,,,,4,4,4,4,2,,4,3,4,,,,,4,7,4,4,4,4,,,,,,,,,,,0,0,9.46,0,0,0,4.909,0,6,4,0,0,23.593,0,7,1,1,7,7,7,,4,its safe,3,3,3,,,1,7,99,4,4,3,,,,2,1,2,5,5,3,2,4,4,,,2,,35,1,8,,2,9,1,,19,1,,2,
1/28/2021 6:42,1/28/2021 6:52,0,100,579,1,1/28/2021 6:52,anonymous,EN-GB,1,Firefox,84,Windows NT 10.0,1366x768,,,,,,,,,,1,1,1,3,1,,1,1,1,,,,,1,1,1,1,1,1,,,,,,,,,,,0,0,44.588,0,18.395,18.395,19.348,1,5,7,0,0,26.443,0,1,7,7,1,1,5,,1,"Healthy people should not be vaccinated, also vaccinations have created several diseases. More people are dying from it. Also being forced to take vaccinations is very wrong. It would seem that it's all about money, power and control",1,1,1,,,2,7,99,1,1,1,,,,2,1,4,3,4,1,3,1,1,"it does not take into account of real life situations as every person and every family have different circumstances, hence would lead to incorrect judgements and result in suffering",1,2,,46,1,7,,2,4,1,,9,1,,1,
1/28/2021 6:41,1/28/2021 6:52,0,100,668,1,1/28/2021 6:52,anonymous,EN-GB,1,Chrome,85.0.4183.81,Android 9,360x780,5,5,5,6,5,,6,6,6,,,,,,,,,,3,7,1,2,,,,,4,4,,,,,,,,,,,3.928,24.149,33.671,3,9.335,12.684,18.451,3,7,4,12.62,63.455,65.927,8,6,4,4,6,5,5,,3,We have to put certain belief in our medical system and the country and eu union will not take any risk when it comes to the health of these many people,4,3,4,,,2,7,99,,,,6,5,6,2,2,4,2,4,4,5,5,4,,,2,,32,2,6,,2,8,1,,7,2,Malayalam,3,
1/28/2021 6:42,1/28/2021 6:53,0,100,663,1,1/28/2021 6:53,anonymous,EN-GB,1,Chrome,87.0.4280.88,Windows NT 6.1,1366x768,,,,,,,,,,4,5,5,5,4,,5,5,5,,,,,5,6,3,4,4,5,,,,,,,,,,,0,0,29.098,0,0,0,17.243,0,7,5,0,0,17.865,0,5,5,5,6,6,6,,4,i am in the high risk category as i have a lung condition and have confidence in the vaccine. I will feel more protected if I got it. I will certainly take it as soon as its available to me. I have confidence in it.,3,2,3,1,,3,7,99,7,6,6,,,,2,2,4,4,4,5,2,5,5,,1,2,,31,2,7,,2,7,1,,31,1,,1,"no. very interesting survey, thanks"
1/28/2021 6:43,1/28/2021 6:53,0,100,635,1,1/28/2021 6:53,anonymous,EN-GB,1,Chrome,87.0.4280.141,Windows NT 10.0,1600x900,,,,,,,,,,5,5,4,6,4,,5,7,6,,,,,3,6,5,2,3,2,,,,,,,,,,,0,0,20.418,0,0,0,22.572,0,6,3,0,0,28.707,0,6,3,2,6,6,6,,4,I am in a high risk category. If l get the virus it will be a death sentence. Assuming the vaccine works I will obviously take it.,4,2,4,,,2,7,99,7,2,6,,,,2,2,3,2,3,5,5,6,2,"One size does not fit all, and the algorithm system seems to produce an average.",1,2,,72,1,3,,2,3,1,,13,1,,3,Everything was as clear as it could be
1/28/2021 6:42,1/28/2021 6:55,0,100,792,1,1/28/2021 6:55,anonymous,EN-GB,1,Chrome,87.0.4280.152,CrOS x86_64 13505.111.0,1366x768,,,,,,,,,,4,3,3,5,4,,5,5,7,,,,,2,7,4,3,4,4,,,,,,,,,,,0,0,14.335,0,0,0,10.3,0,6,1,0,0,24.839,0,7,1,1,7,7,7,,4,I want to protect myself and my community from spreading covid,3,2,4,,,1,7,99,7,6,6,,,,2,2,2,6,6,1,1,7,3,impossible to argue against a decision which might be completely wrong,1,2,,46,1,4,,2,9,1,,12,1,,1,
1/28/2021 6:48,1/28/2021 6:55,0,100,425,1,1/28/2021 6:55,anonymous,EN-GB,1,Chrome,88.0.4324.93,Android 10,1280x800,4,4,4,6,2,,5,5,6,,,,,,,,,,4,7,2,5,,,,,4,4,,,,,,,,,,,1.136,1.136,6.718,1,1.754,1.754,9.001,1,7,6,3.822,4.364,4.844,2,6,6,5,6,5,5,,4,"I want to get on with  my life, the way we are living at the moment isn't life",4,4,3,,,1,7,99,,,,7,4,2,1,2,3,3,6,2,5,5,6,,,2,,46,1,4,,2,3,1,,5,1,,1,Interesting survey 
1/28/2021 6:41,1/28/2021 6:55,0,100,856,1,1/28/2021 6:55,anonymous,EN-GB,1,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,,,,,,,,,,6,6,6,6,5,,7,7,7,,,,,6,6,3,2,5,5,0,0,22.208,0,0,0,34.293,0,7,5,,,,,,,,,,,0,0,30.532,0,7,3,3,7,7,7,,4,I want to be vaccinated against Covid so I can continue my life as normal and not be subject to the lockdowns and strict life rules we are subject to.,4,4,4,,,1,7,99,7,2,7,,,,1,2,5,7,4,3,5,6,5,,1,2,,49,2,5,,2,9,1,,8,1,,1,
1/28/2021 6:42,1/28/2021 6:56,0,100,820,1,1/28/2021 6:56,anonymous,EN-GB,1,Firefox,84,Windows NT 6.1,1680x1050,,,,,,,,,,3,3,3,6,5,,3,4,4,,,,,4,5,4,2,5,4,0,0,71.239,0,0,0,68.831,0,6,3,,,,,,,,,,,0,0,53.077,0,6,3,6,6,6,6,,4,Preferable to dieing from covid!,4,2,4,,,1,7,99,7,4,5,,,,2,2,4,4,3,1,3,7,3,there can be errors,1,1,marking of state exams for purpose of predicted grades,44,1,7,,2,9,1,,26,1,,1,
1/28/2021 6:53,1/28/2021 6:56,0,100,210,1,1/28/2021 6:56,anonymous,EN-GB,1,Chrome,88.0.4324.104,Windows NT 10.0,1536x864,,,,,,,,,,5,5,4,4,4,,4,4,4,,,,,4,4,4,4,5,5,,,,,,,,,,,0,0,2.847,0,0,0,15.918,0,6,5,0,0,13.728,0,6,5,6,4,6,5,,3,noy sure,1,2,3,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2021 6:43,1/28/2021 6:57,0,100,870,1,1/28/2021 6:57,anonymous,EN-GB,1,Safari iPhone,14.0.2,iPhone,414x736,4,4,4,4,3,,4,4,4,,,,,,,,,,4,5,3,4,,,,,4,4,,,,,,,,,,,1.829,1.829,43.63,1,1.748,46.679,49.684,5,7,4,4.792,51.791,72.042,7,4,4,3,4,4,5,,3,Actually there’s no other options since you cannot travel without the vaccine since most airlines and other countries will probably look for your vaccine certificate ,4,4,4,,,2,7,99,,,,7,7,4,1,1,6,4,4,4,1,5,4,,1,2,,40,2,6,,1,2,1,,6,2,Filipino ,3,
