age,count
18,798834
19,802121
20,751277
21,742312
22,714248
23,718680
24,709337
25,686963
26,687358
27,722789
28,738736
29,757867
30,768610
31,780971
32,784370
33,799704
34,797625
35,792623
36,783964
37,833860
38,842825
39,850409
40,805073
41,788366
42,790622
43,769562
44,791082
45,832357
46,877562
47,896989
48,892524
49,871913
50,860696
51,848446
52,843798
53,861691
54,863754
55,871898
56,859149
57,828676
58,830837
59,825575
60,820285
61,802234
62,794444
63,785472
64,777046
65,773148
66,755261
67,764465
68,742835
69,765704
70,749909
71,744149
72,724568
73,679306
74,506102
75,491227
76,473379
77,432738
78,380299
79,388317
80,399922
81,382309
82,365250
83,355008
84,329744
85,319514
86,288702
87,275966
88,246600
89,222212
90,183143
91,157978
92,130288
93,108712
94,87809
95,68483
96,52295
97,39055
98,28437
99,19557
100,8039
101,4555
102,2857
103,1637
104,1158
105,2698
