StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q10.3_First Click,Q10.3_Last Click,Q10.3_Page Submit,Q10.3_Click Count,Q10.5_First Click,Q10.5_Last Click,Q10.5_Page Submit,Q10.5_Click Count,Q10.6,Q10.7,Q417_First Click,Q417_Last Click,Q417_Page Submit,Q417_Click Count,Q420,Q421,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q20.4,Q20.5,Q18.4,Q18.5,Q19.2_8,Q19.3,Q19.4,Q19.4_9_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6
1/27/2021 1:53,1/27/2021 2:02,0,100,555,1,1/27/2021 2:02,anonymous,NL,1,Firefox,84,Windows NT 10.0,1920x1080,,,,,,,,,1,1,1,5,1,1,4,4,,,,,4,6,4,1,2,1,0,0,26.973,0,0,0,27.671,0,4,4,,,,,,,0,0,50.882,0,3,5,4,4,3,4,3,ben nog niet zeker,3,2,2,,,2,7,99,5,3,1,,,,2,2,3,5,6,1,3,1,1,omdat het niet altijd klopt,3,2,kinderopvang,74,1,1,,2,2,1,,12,1,,1,nee
1/27/2021 1:51,1/27/2021 2:02,0,100,633,1,1/27/2021 2:02,anonymous,NL,1,Chrome,87.0.4280.142,CrOS x86_64 13505.100.0,1920x1080,,,,,,,,,5,5,5,4,5,5,5,6,,,,,4,3,3,4,5,4,,,,,,,,,,,0,0,3.972,0,6,5,0,0,5.566,0,5,5,4,5,4,5,2,"Ik hoef geen rommel in mijn lichaam, mijn afweersysteem is goed.",2,2,2,,,2,7,99,5,4,5,,,,2,2,3,3,4,5,5,5,3,Ze moeten naar de situatie kijken.,2,1,,30,1,8,,2,9,1,,3,1,,1,"Nee, het was duidelijk.
"
1/27/2021 2:01,1/27/2021 2:06,0,100,307,1,1/27/2021 2:06,anonymous,NL,1,Chrome,83.0.4103.106,Android 10,320x685,1,1,4,4,4,1,4,4,,,,,,,,,4,1,3,3,,,,,3,3,,,,,,,,,,,0.526,1.227,1.881,2,2,3,6.673,15.143,16.323,4,3,3,4,3,4,3,3,Cofid 19,2,3,2,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2021 1:55,1/27/2021 2:06,0,100,672,1,1/27/2021 2:06,anonymous,NL,1,Chrome,83.0.4103.106,Android 8.0.0,360x640,4,4,4,4,4,4,5,5,,,,,,,,,3,4,5,4,,,,,4,3,,,,,,,,,,,3.047,11.046,14.662,3,6,5,10.276,13.366,13.838,3,4,5,4,5,4,4,3,Ben er nog niet over uit om me te laten vaccineren ,1,1,1,1,,2,7,99,,,,4,4,4,2,2,4,4,5,4,5,4,4,,3,1,,65,1,1,,2,7,1,,11,1,,1,Nee
1/27/2021 1:52,1/27/2021 2:06,0,100,863,1,1/27/2021 2:06,anonymous,NL,1,Chrome,88.0.4324.104,Windows NT 10.0,1549x871,,,,,,,,,4,5,6,5,6,6,7,6,,,,,1,5,4,2,2,3,0,0,40.718,0,0,0,52.881,0,6,3,,,,,,,0,0,72.423,0,3,4,4,3,4,3,3,we zijn door deskundigen voorgelicht,3,2,3,,geneeskundigen,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2021 1:52,1/27/2021 2:08,0,100,963,1,1/27/2021 2:08,anonymous,NL,1,Chrome,88.0.4324.93,Android 10,393x851,3,4,2,6,1,3,3,5,,,,,,,,,2,4,4,4,,,,,5,4,5.977,15.601,23.631,2,7.015,30.319,31.849,6,7,5,,,,,,,2.292,29.842,32.427,7,5,7,6,1,2,5,1,Ik weet de bijwerkingen over langere termijn niet. En daarnaast kan je nog altijd besmet raken en besmettelijk zijn met covid. Dus zie ik de meerwaarde van het vaccin niet in,2,2,2,,,3,7,99,,,,2,7,1,2,1,3,4,6,1,3,4,5,,2,1,,27,2,4,,2,4,1,,2,1,,1,
1/27/2021 1:51,1/27/2021 2:09,0,100,1070,1,1/27/2021 2:09,anonymous,NL,1,Chrome,88.0.4324.104,Windows NT 10.0,1366x768,,,,,,,,,1,1,1,4,1,4,4,4,,,,,2,3,2,3,4,4,,,,,,,,,,,0,0,51.243,0,5,5,0,0,105.736,0,5,6,6,5,4,5,3,"ben er nog niet helemaal uit, behoor tot de risico groep en twijfel daarom",3,2,2,,,1,7,99,7,7,3,,,,2,2,3,4,4,4,3,7,6,,3,1,,60,2,9,HBO Beroepsopleiding casemaneger,2,2,1,,13,1,,1,NVT
1/27/2021 2:09,1/27/2021 2:11,0,100,127,1,1/27/2021 2:11,anonymous,NL,1,Safari iPad,12.1.2,iPad,768x1024,7,7,7,7,7,7,7,7,,,,,,,,,7,7,7,7,,,,,7,7,1.365,1.901,2.642,2,0.573,0.573,1.683,1,7,7,,,,,,,0.819,2.033,2.093,2,7,7,7,7,7,7,2,Want een familie lid is aan een vaccin overleden en dat is ook bewezen dat het door het vaccin komt,4,4,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2021 2:02,1/27/2021 2:12,0,100,561,1,1/27/2021 2:12,anonymous,NL,1,Firefox,85,Windows NT 10.0,1280x720,,,,,,,,,7,7,7,7,6,6,7,7,,,,,4,6,6,3,7,7,0,0,17.228,0,0,0,17.724,0,7,6,,,,,,,0,0,29.809,0,5,6,7,6,5,6,4,"als ik die bijwerkingen zie, vermoeidheid , misselijkheid, darmproblemen, daar leef ik dagelijks mee, dus ik hoop dat het een goeie inenting word en dat we weer normaal kunnen gaan leven.
Ik vind het alleen gek dat ze nu met de tweede inenting begonnen zijn terwijl nog miljoenen wachten op de eerste inenting",2,2,2,,,2,7,,7,7,6,,,,1,2,7,7,3,6,3,7,7,,1,1,,69,2,1,,2,3,1,,13,1,,1,hoop dat de inentingen tegen het coronavirus snel en voorspoedig voorlopen
1/27/2021 2:06,1/27/2021 2:17,0,100,640,1,1/27/2021 2:17,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,,,,,,,,4,4,4,5,4,4,4,4,,,,,2,5,1,2,3,2,,,,,,,,,,,0,0,28.23,0,6,2,0,0,45.737,0,6,3,2,6,6,6,4,"Voor mijn eigen veiligheid. m
Maar vooral om anderen niet meer te kunnen besmetten.",4,4,4,,,2,7,99,6,4,5,,,,2,2,5,5,2,3,6,2,2,Het werkt vergissingen in de hand. Zie toeslagen debat.,,2,toeslagen affaire,62,2,1,,2,4,1,,10,1,,1,Laten we positief naar elkaar blijven. Geen veroordelingen voor we de feiten kennen.
1/27/2021 2:11,1/27/2021 2:20,0,100,569,1,1/27/2021 2:20,anonymous,NL,1,Chrome,83.0.4103.106,Android 10,360x780,1,1,1,1,1,1,1,1,,,,,,,,,4,7,1,4,,,,,1,1,,,,,,,,,,,2.316,12.92,14.738,4,7,7,8.69,23.269,28,8,7,7,5,5,4,7,4,dan heb ik er alles aan gedaan om het in te dammen,1,1,1,,,2,7,99,,,,4,5,1,2,1,5,5,5,4,1,7,6,,,1,,64,2,1,,2,5,1,,2,1,,1,nee
1/27/2021 2:04,1/27/2021 2:21,0,100,1046,1,1/27/2021 2:21,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,,,,,,,,3,3,3,5,6,3,4,4,,,,,1,5,1,1,3,3,,,,,,,,,,,0,0,210.61,0,7,6,0,0,72.575,0,7,6,5,5,5,4,3,Ik wacht nog de reacties af van degenen die gevaccineerd zijn.,3,3,3,,,1,7,99,7,3,6,,,,1,2,4,4,4,4,4,5,5,,3,1,,65,1,1,,2,2,1,,10,1,,1,Neen
1/27/2021 2:15,1/27/2021 2:22,0,100,426,1,1/27/2021 2:22,anonymous,NL,1,Chrome,88.0.4324.104,Windows NT 10.0,1680x1050,,,,,,,,,3,3,3,5,3,1,5,5,,,,,4,5,1,1,4,4,,,,,,,,,,,0,0,28.003,0,7,4,0,0,5.083,0,5,1,1,5,5,5,4,"je moet wel, zonder vaccin valt niet meer te leven",4,1,4,,,3,7,99,7,1,5,,,,2,2,4,7,4,4,1,4,4,,,1,,65,1,1,,2,2,1,,12,1,,1,
1/27/2021 2:14,1/27/2021 2:23,0,100,520,1,1/27/2021 2:23,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,,,,,,,,3,3,3,4,3,4,5,5,,,,,3,5,1,4,5,3,0,0,22.926,0,0,0,25.763,0,6,5,,,,,,,0,0,33.541,0,6,4,4,6,5,5,4,reeds bewezen dat het werkt,4,4,4,,,2,7,99,6,6,4,,,,2,2,3,4,5,3,3,4,4,,2,1,,61,1,1,,2,3,1,,3,1,,1,
1/27/2021 2:12,1/27/2021 2:33,0,100,1212,1,1/27/2021 2:33,anonymous,NL,1,Firefox,84,Ubuntu,1366x768,,,,,,,,,4,3,3,4,3,2,4,4,,,,,4,4,3,2,3,3,13.557,20.763,46.957,2,0,0,52.3,0,5,4,,,,,,,56.315,56.315,74.221,1,4,5,4,5,3,4,2,Ik laat me door geen enkel vaccin inenten,2,1,2,,,1,7,99,5,4,3,,,,2,2,4,5,4,5,3,3,4,,3,1,,76,1,1,,2,5,1,,12,1,,1,
1/27/2021 2:24,1/27/2021 2:36,0,100,695,1,1/27/2021 2:36,anonymous,NL,1,Safari,14.0.2,Macintosh,768x1024,,,,,,,,,5,5,5,6,4,6,6,6,,,,,3,7,4,3,3,1,0,0,13.136,0,0,0,12.933,0,7,5,,,,,,,6.136,6.136,7.168,1,5,3,4,6,6,6,4,Ik zit in de risico groep dus wil wel een prik. ,3,3,3,,,1,7,99,6,3,4,,,,2,2,4,7,5,4,4,4,3,Er een mate van willekeurigheid in zit.,3,2,Nee,64,2,1,,2,9,1,,7,1,,1,Nee
1/27/2021 2:26,1/27/2021 2:39,0,100,820,1,1/27/2021 2:39,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1440x900,,,,,,,,,4,4,4,4,4,3,4,4,,,,,3,6,1,3,3,3,,,,,,,,,,,0,0,31.818,0,6,4,0,0,16.095,0,6,3,3,6,6,6,4,"Ik vind het zeer belangrijk, volgens mij de enige manier om van het virus af te komen",3,3,3,,,1,7,99,6,6,5,,,,2,2,5,6,4,7,6,7,4,,1,2,toeslagen,74,1,9,LTS,2,2,1,,13,1,,1,geen
1/27/2021 2:31,1/27/2021 2:42,0,100,643,1,1/27/2021 2:42,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,,,,,,,,4,4,4,6,5,4,6,6,,,,,5,7,3,3,4,4,0,0,3.699,0,0,0,2.707,0,7,6,,,,,,,0,0,3.382,0,7,5,6,7,7,5,4,gezondheid en veiligheid omgeving,4,3,4,,,2,7,negennegentig,7,6,6,,,,2,2,5,5,4,4,6,4,4,,1,1,,75,1,4,,2,7,1,,4,1,,1,nee
1/27/2021 2:33,1/27/2021 2:46,0,100,735,1,1/27/2021 2:46,anonymous,NL,1,Edge,88.0.705.50,Windows NT 10.0,1920x1080,,,,,,,,,4,4,4,4,4,4,4,4,,,,,4,4,2,4,4,4,0,0,9.304,0,0,0,6.95,0,6,5,,,,,,,0,0,5.365,0,5,6,6,4,5,4,3,"als het zo is geef ik mij daar in over, beter dan ziek worden
",4,4,4,,,1,7,99,7,2,4,,,,2,2,4,4,3,4,2,4,4,,1,1,,69,2,1,,2,3,1,,2,1,,1,geen
1/27/2021 2:00,1/27/2021 2:51,0,100,3079,1,1/27/2021 2:51,anonymous,NL,1,Chrome,87.0.4280.141,Windows NT 10.0,1600x900,,,,,,,,,2,2,3,3,1,4,3,3,,,,,3,4,1,2,5,5,,,,,,,,,,,0,0,36.505,0,6,6,0,0,53.159,0,5,6,7,5,6,4,2,"Heb sterke twijfels, misschien dat iemand me nog over de streep kan trekken?!",3,3,3,4,in overleg met huisarts en familie,1,7,,5,1,3,,,,1,2,1,1,5,3,2,5,6,,,1,,67,2,9,MULO,2,9,1,,11,1,,1,
