age,count
0 år,115383
1 år,118776
2 år,120030
3 år,124681
4 år,122848
5 år,124569
6 år,123335
7 år,124541
8 år,123471
9 år,128168
10 år,124897
11 år,123654
12 år,121905
13 år,121199
14 år,117364
15 år,116944
16 år,115523
17 år,113220
18 år,110326
19 år,112896
20 år,116615
21 år,113130
22 år,112295
23 år,118181
24 år,127478
25 år,137195
26 år,143233
27 år,149623
28 år,153357
29 år,156288
30 år,149862
31 år,147879
32 år,141166
33 år,139859
34 år,137125
35 år,132541
36 år,129376
37 år,129609
38 år,127537
39 år,131535
40 år,127439
41 år,123405
42 år,124745
43 år,125676
44 år,129998
45 år,135272
46 år,132678
47 år,134736
48 år,133927
49 år,130479
50 år,127993
51 år,132894
52 år,138613
53 år,139269
54 år,138986
55 år,137804
56 år,128099
57 år,121763
58 år,117040
59 år,115402
60 år,115014
61 år,113959
62 år,114438
63 år,113841
64 år,111138
65 år,108095
66 år,109510
67 år,107927
68 år,105509
69 år,109007
70 år,111522
71 år,113904
72 år,113141
73 år,112310
74 år,109538
75 år,105077
76 år,95932
77 år,85993
78 år,73767
79 år,67829
80 år,65302
81 år,60124
82 år,54029
83 år,49510
84 år,44085
85 år,39486
86 år,35646
87 år,33049
88 år,29430
89 år,26018
90 år,21450
91 år,18531
92 år,15006
93 år,12119
94 år,9538
95 år,7317
96 år,5241
97 år,3655
98 år,2709
99 år,1854
100+ år,2207
