StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q8.6,Q8.7,Q10.3_First Click,Q10.3_Last Click,Q10.3_Page Submit,Q10.3_Click Count,Q10.5_First Click,Q10.5_Last Click,Q10.5_Page Submit,Q10.5_Click Count,Q10.6,Q10.7,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q.20.4,Q20.5,Q18.4,Q18.5,Q19.2_1,Q19.3,Q19.4,Q19.4_12_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6
1/25/2021 5:09,1/25/2021 5:13,0,100,224,1,1/25/2021 5:13,anonymous,SV,1,Chrome,88.0.4324.93,Android 7.1.1,360x640,4,4,4,4,4,4,4,4,,,,,,,,,7,7,7,5,,,,,4,4,1.26,2.21,2.893,2,1.588,3.064,4.031,3,7,7,,,,,,,,,,,1.402,4.322,8.584,4,7,6,4,6,5,6,4,Känns rätt ,4,4,4,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2021 5:12,1/25/2021 5:15,0,100,184,1,1/25/2021 5:15,anonymous,SV,1,Safari iPhone,14.0.2,iPhone,375x812,5,7,6,5,6,6,6,6,,,,,,,,,6,7,4,5,,,,,6,5,,,,,,,,,,,0.224,0.57,2.198,2,0.566,0.566,1.498,1,6,7,0.629,0.963,2.01,2,5,4,7,6,5,5,3,Är inte i riskgrupp,3,4,3,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2021 5:09,1/25/2021 5:16,0,100,367,1,1/25/2021 5:16,anonymous,SV,1,Chrome,87.0.4280.141,Macintosh,1440x900,,,,,,,,,5,5,5,6,5,4,4,3,,,,,6,6,6,6,5,7,0,0,14.315,0,0,0,12.356,0,5,7,,,,,,,,,,,23.536,23.536,24.29,1,7,3,1,7,5,7,4,Jag vill återgå till ett normalt samhälle,2,2,1,,,1,7,99,2,2,7,,,,2,1,5,5,5,5,7,5,7,,,1,,25,1,6,,2,2,1,,12,1,,1,
1/25/2021 5:09,1/25/2021 5:18,0,100,520,1,1/25/2021 5:18,anonymous,SV,1,Safari iPhone,14.0.2,iPhone,375x667,4,4,4,4,1,4,4,4,,,,,,,,,4,4,4,4,,,,,4,4,,,,,,,,,,,1.822,6.385,7.527,4,1.126,10.597,15.102,5,7,4,2.155,55.488,61.545,13,4,4,4,4,3,4,2,Vet för lite om vaccinets biverkningar rädd att få bestående men i livet ,4,4,4,,,2,7,99,,,,5,4,4,1,2,1,1,4,4,4,1,4,,,1,,39,2,2,,2,7,1,,12,1,,1,
1/25/2021 5:10,1/25/2021 5:18,0,100,472,1,1/25/2021 5:18,anonymous,SV,1,Chrome,87.0.4280.141,Macintosh,1280x800,,,,,,,,,4,4,4,4,4,5,5,5,,,,,5,5,5,2,5,5,0,0,18.049,0,0,0,3.172,0,7,7,,,,,,,,,,,0,0,3.641,0,5,5,3,6,6,6,3,Finns inte så många alternativ. Måste våga lita på myndigheter.,4,3,3,,,1,7,99,5,5,6,,,,2,1,4,4,6,5,5,7,5,,1,1,,52,1,5,,2,8,1,,11,1,,1,
1/25/2021 5:18,1/25/2021 5:20,0,100,120,1,1/25/2021 5:20,anonymous,SV,1,Safari iPhone,14.0.2,iPhone,414x896,4,4,4,4,4,4,4,5,,,,,,,,,3,4,4,3,,,,,4,3,,,,,,,,,,,1.09,1.09,2.138,1,0.645,0.645,1.81,1,4,3,0.52,0.52,2.035,1,4,4,3,3,3,4,3,Bra skydd ,3,3,3,2,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2021 5:15,1/25/2021 5:21,0,100,388,1,1/25/2021 5:21,anonymous,SV,1,Safari iPhone,Unknown,iPhone,375x667,4,6,7,5,4,5,7,5,,,,,,,,,4,2,1,5,,,,,5,4,2.734,38.157,39.284,7,1.088,23.652,27.676,3,7,5,,,,,,,,,,,1.733,3.748,3.799,2,6,5,5,4,3,3,2,Jag har hört att den inte hjälper ,3,2,4,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2021 5:14,1/25/2021 5:22,0,100,478,1,1/25/2021 5:22,anonymous,SV,1,Chrome,87.0.4280.141,Android 10,360x747,6,5,5,7,4,7,7,7,,,,,,,,,5,7,3,1,,,,,4,4,,,,,,,,,,,2.959,5.115,13.495,2,1.72,10.859,22.9,2,7,5,3.966,18.014,32.18,4,7,5,4,7,7,7,4,Alla sanvsar att ta vaccin för att pandemin ska försvinna. Vilken vaccin jag blir erbjuden vet jag ju inte. ,4,1,4,,,2,7,99,,,,4,1,5,1,2,3,3,2,4,3,1,3,En algoritm inte tar hänsyn till mer än det som människor har programmerat in. Humanistiska perspektiv bör diskuteras mellan människor. ,1,1,,38,1,6,,2,8,1,,7,1,,1,
1/25/2021 5:13,1/25/2021 5:24,0,100,628,1,1/25/2021 5:24,anonymous,SV,1,Chrome,87.0.4280.141,Windows NT 10.0,1536x864,,,,,,,,,5,5,5,6,2,5,5,5,,,,,6,7,1,2,3,3,0,0,21.763,0,0,0,19.661,0,7,5,,,,,,,,,,,0,0,32.828,0,6,4,3,7,6,6,4,Jag tror vaccinet är säkert. Ala borde vaccinera sej.,4,4,4,,,2,7,,7,6,5,,,,1,2,3,3,6,6,2,6,5,,,1,,78,1,4,,2,8,1,,12,1,,1,nix
1/25/2021 5:13,1/25/2021 5:24,0,100,681,1,1/25/2021 5:24,anonymous,SV,1,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,,,,,,,,,1,1,1,5,1,1,2,1,,,,,2,3,5,5,3,1,0,0,28.62,0,0,0,26.878,0,7,6,,,,,,,,,,,0,0,82.333,0,4,5,5,4,5,6,3,"man måste hoppas på att det hjälper och skyddar, även om myndigheter tjänar mest på att bara ge ut bluffvaccin.",2,1,2,,,2,7,99,6,6,1,,,,1,1,2,2,4,1,2,4,2,"en algoritm kan aldrig göra personliga inviduella beslut, alla människor kan inte delas in i få boxar. ",3,2,"det är väll så på precis allt, de använder genvägar för att nå sina belsut",35,2,6,,1,5,1,,11,1,,1,tack
