EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q1.3_Browser,Q1.3_Version,Q1.3_Operating.System,Q1.3_Resolution,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.3_1,Q2.3_2,Q2.3_3,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.3_1,Q3.3_2,Q3.3_3,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q7.2,Q7.3,Q8.3_Page.Submit,Q8.5_Page.Submit,Q8.6,Q8.7,Q10.3_Page.Submit,Q10.5_Page.Submit,Q10.6,Q10.7,Q14.2_Page.Submit,Q15.2,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q160,Q16.2,Q16.3,Q16.7_1,Q16.7_2,Q16.7_3,Q16.8_1,Q16.8_1_TEXT,Q298,Q17.1,Q17.1_7_TEXT,Q6.3_1,Q6.3_2,Q6.4,Q5.8,Q5.9,Q5.10,Q16.5,Q16.6,Q18.2,Q18.3,Q4.2,Q4.3,Q4.4,Q20.2,Q20.3,Q20.5,Q18.4,Q18.5,Q19.2_8,Q19.3,Q19.4,Q19.4_9_TEXT,Q19.5,Q19.6,Q19.7,Q19.7_2_TEXT,Q19.8,Q19.9,Q19.9_2_TEXT,Q19.10,Q20.6,psid,pid,country,check,Q86,Q19.2_1,RecipientLastName,Q.20.4,Q417_Page.Submit,Q420,Q421,Q138_Page.Submit,Q141,Q142,Q140,Q19.4_8_TEXT,Q20.4,Q19.4_12_TEXT,device,experimental.group,independence,advice,no.text,intro.submit,manipulation.submit,perceived.independence,safety,IMC,comprehension.check,comprehension.check.failed,female,age,healthcare,healthcare.recoded,native.language,benefits.vaccines,comments.general,intent.vaccine,intent.vaccine.recoded,credibility.item1,credibility.item2.reversed,credibility.item3.reversed,credibility.item4,credibility.item5,credibility.item6,stability,expertise,noninterference,credibility.index,trust.EC,trust.EP,trust.council,trust.scientist,trust.politicians,trust.media,political.ideology,EU.integration,interpersonal.trust,familiarity.EMA,familiarity.advice,credibility.EMA.pre,credibility.EMA.post,trust.health.authorities,perceived.independence.reversed,consequences.health,consequences.economic,importance.EMA,importance.FDA,importance.NRA,importance.EMA.recoded,importance.FDA.recoded,importance.NRA.recoded,private.providers,decision.submit,duration,trust.EU.institutions,province.id,knowledge,manipulation.submit.quartile,manipulation.submit.30,age.10,country.lab,noninterference.recoded,expertise.recoded,stability.recoded,perceived.independence.reversed.recoded,benefits.vaccines.recoded,timer_total_minutes,education,income,migration_background
28-1-2021 06:48,0,89.127.49.172,100,332,1,28-1-2021 06:48,R_6r10xF7Jw5mW67T,anonymous,EN-GB,1,Chrome,88.0.4324.93,Android 10,412x915,6,7,6,7,5,0,7,7,7,6,7,6,7,5,0,7,7,7,5,7,7,4,5,7,7,4,5,4,0,0,0,0,28.991,17.946,7,6,18.682,7,5,6,7,7,7,0,4,"I firmly believe in the efficiency and safety of vaccines. If it has been tested safe until now, I see no reason to not receive it.",4,4,4,0,,2,7,99,6,6,6,6,6,6,1,2,1,1,2,4,7,4,4,1,2,,33,2,5,,2,9,1,,31,1,,2,,VSjgKHrIYN2GBxzSFWLw1g**,1853606764,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,28.991,17.946,6,7,1,1,passed,1,33,0,no,1,7,,4,1,7,3,2,7,7,7,7,7,4,5.5,6,7,6,7,5,NA,2,4,7,1,1,7,NA,6,2,6,6,4,4,4,1,1,1,4,18.682,5.533333333333333,6.333333333333333,IE31,0,Q2,Under 30 secs,30-39,3. Ireland,0.3076923076923077,1,1,0.16666666666666666,1,5.533333333333333,5,9,1
28-1-2021 06:49,0,86.47.20.240,100,335,1,28-1-2021 06:49,R_Wea5WFFKHpIZJ17,anonymous,EN-GB,1,Safari iPhone,14.0.2,iPhone,375x667,4,4,3,6,1,0,3,3,5,4,4,3,6,1,0,3,3,5,3,2,1,1,3,2,1,1,4,5,0,0,0,0,10.723,4,7,7,6.434,5,6,6,4,4,4,0,3,I have a nut allergy and carry an epipen ,3,3,3,0,,2,7,99,7,7,1,7,7,1,2,2,1,1,4,4,4,4,4,2,2,,23,2,7,,2,3,1,,21,1,,1,,VSjgKHrIYN0YWHbvsSiiuQ**,1886414459,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,10.723,4,7,7,1,1,passed,1,23,0,no,1,2,,3,0.6666666666666666,5,2,2,4,4,4,4,4,3,3.5,4,4,3,6,1,NA,4,4,4,1,1,3,NA,1,1,7,7,3,3,3,1,1,1,4,6.434,5.583333333333333,3.6666666666666665,IE21,1,Q1,Under 30 secs,younger than 30,3. Ireland,0.23076923076923078,0.6,0.5,0,0.16666666666666666,5.583333333333333,7,3,0
28-1-2021 06:49,0,95.44.234.7,100,407,1,28-1-2021 06:49,R_3qDxwvu5g7VLF1x,anonymous,EN-GB,1,Safari iPhone,14.0.3,iPhone,375x812,5,5,5,6,5,0,5,6,6,5,5,5,6,5,0,5,6,6,6,5,1,4,6,5,1,4,6,6,22.739,16.381,7,5,0,0,0,0,35.509,7,2,3,7,7,5,0,3,"I believe it may better , because its been tested for a long time and its re maked for better quality",3,3,4,0,,2,7,99,6,7,5,6,7,5,1,2,3,1,3,7,1,4,7,1,2,,25,2,8,,2,8,1,,7,1,,2,,VSjgKHrIYN03PsozNAOIPA**,1407762027,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,independence,1,0,0,22.739,16.381,5,7,1,0,failed,1,25,0,no,1,5,,3,0.6666666666666666,7,6,5,7,7,5,5,7,6,6.166666666666667,5,5,5,6,5,NA,3,7,1,3,1,6,NA,5,3,6,7,3,3,4,1,1,1,4,35.509,6.783333333333333,5,IE7,0,Q2,Under 30 secs,younger than 30,3. Ireland,0.7692307692307693,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,6.783333333333333,8,8,1
28-1-2021 06:49,0,37.228.215.163,100,399,1,28-1-2021 06:49,R_3KNrdnzfFSAPTKj,anonymous,EN-GB,1,Chrome,87.0.4280.141,Android 9,360x780,4,4,4,7,6,0,4,4,7,4,4,4,7,6,0,4,4,7,2,4,3,3,2,4,3,3,5,4,0,0,0,0,29.624,19.705,7,5,26.232,4,3,4,4,4,4,0,1,I would like to wait to see long term affects ,3,3,3,0,,2,7,99,5,4,4,5,4,4,1,2,1,1,4,4,4,5,4,1,1,Surveys ,22,2,3,,2,2,1,,26,1,,1,No,VSjgKHrIYN2YY1UiIFwq8Q**,1812105782,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,29.624,19.705,5,7,1,1,passed,1,22,0,no,1,4,No,1,0,4,5,4,4,4,4,4,4,4.333333333333333,4.166666666666667,4,4,4,7,6,NA,4,4,4,1,1,4,NA,4,3,5,4,3,3,3,1,1,1,5,26.232,6.65,4,IE26,0,Q3,Under 30 secs,younger than 30,3. Ireland,0.6153846153846154,0.55,0.5,0.3333333333333333,0.5,6.65,3,2,0
28-1-2021 06:52,0,37.228.249.48,100,668,1,28-1-2021 06:52,R_3HwgpfU9emlJYz0,anonymous,EN-GB,1,Chrome,85.0.4183.81,Android 9,360x780,5,5,5,6,5,0,6,6,6,5,5,5,6,5,0,6,6,6,3,7,1,2,3,7,1,2,4,4,0,0,0,0,33.671,18.451,7,4,65.927,6,4,4,6,5,5,0,3,We have to put certain belief in our medical system and the country and eu union will not take any risk when it comes to the health of these many people,4,3,4,0,,2,7,99,6,5,6,6,5,6,2,2,4,2,4,4,5,5,4,0,2,,32,2,6,,2,8,1,,7,2,Malayalam,3,,VSjgKHrIYN3CjVS92KmdCA**,1785838824,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,33.671,18.451,4,7,1,1,passed,1,32,0,no,2,7,,3,0.6666666666666666,6,4,4,6,5,5,5,5.5,4.666666666666667,5,5,5,5,6,5,NA,4,4,5,4,2,6,NA,6,4,6,5,4,3,4,1,1,1,5,65.927,11.133333333333333,5,IE7,1,Q2,Under 30 secs,30-39,3. Ireland,0.5384615384615384,0.8,0.6666666666666666,0.5,1,11.133333333333333,6,8,1
28-1-2021 06:55,0,86.41.95.4,100,425,1,28-1-2021 06:55,R_3VmgqdyXzHHvJK1,anonymous,EN-GB,1,Chrome,88.0.4324.93,Android 10,1280x800,4,4,4,6,2,0,5,5,6,4,4,4,6,2,0,5,5,6,4,7,2,5,4,7,2,5,4,4,0,0,0,0,6.718,9.001,7,6,4.844,6,6,5,6,5,5,0,4,"I want to get on with  my life, the way we are living at the moment isn't life",4,4,3,0,,1,7,99,7,4,2,7,4,2,1,2,3,3,6,2,5,5,6,0,2,,46,1,4,,2,3,1,,5,1,,1,Interesting survey ,VSjgKHrIYN269tUr7a-ktA**,1476691270,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,6.718,9.001,6,7,1,0,failed,0,46,0,no,1,7,Interesting survey ,4,1,6,2,3,6,5,5,5,5.5,3.6666666666666665,4.5,4,4,4,6,2,NA,6,2,5,3,3,5,NA,2,2,7,4,4,4,3,1,1,1,5,4.844,7.083333333333333,4,IE5,0,Q2,Under 30 secs,40-49,3. Ireland,0.3076923076923077,0.8,0.6666666666666666,0.16666666666666666,1,7.083333333333333,4,3,0
28-1-2021 06:57,0,95.44.250.133,100,870,1,28-1-2021 06:57,R_BK8VtIemJkQnAeR,anonymous,EN-GB,1,Safari iPhone,14.0.2,iPhone,414x736,4,4,4,4,3,0,4,4,4,4,4,4,4,3,0,4,4,4,4,5,3,4,4,5,3,4,4,4,0,0,0,0,43.63,49.684,7,4,72.042,4,4,3,4,4,5,0,3,Actually there�s no other options since you cannot travel without the vaccine since most airlines and other countries will probably look for your vaccine certificate ,4,4,4,0,,2,7,99,7,7,4,7,7,4,1,1,6,4,4,4,1,5,4,1,2,,40,2,6,,1,2,1,,6,2,Filipino ,3,,VSjgKHrIYN23NoqrZbGk3A**,1670379465,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,43.63,49.684,4,7,1,1,passed,1,40,1,yes,2,5,,3,0.6666666666666666,4,4,5,4,4,5,5,4,4.333333333333333,4.333333333333333,4,4,4,4,3,NA,4,4,1,6,4,4,NA,4,4,7,7,4,4,4,1,1,1,5,72.042,14.5,4,IE6,0,Q4,30 secs or more,40-49,3. Ireland,0.6153846153846154,0.55,0.6666666666666666,0.5,0.6666666666666666,14.5,6,2,1
28-1-2021 06:58,0,212.129.84.79,100,881,1,28-1-2021 06:58,R_2EhLtwH5YEGJe8l,anonymous,EN-GB,1,Safari iPhone,13.1.2,iPhone,414x896,5,5,4,6,3,0,4,4,6,5,5,4,6,3,0,4,4,6,5,6,3,5,5,6,3,5,5,5,0,0,0,0,38.88,107.256,7,5,68.617,5,5,5,3,3,5,0,3,"I do want to get a vaccine in theory, but I think this one was approved too soon and skipped some necessary trials ",3,3,4,0,,2,7,99,6,7,4,6,7,4,2,2,6,7,5,4,3,4,5,0,1,Not right away,29,2,8,,2,9,1,,7,2,Russian ,3,,VSjgKHrIYN2PgwpT5erQAQ**,1694085934,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,38.88,107.256,5,7,1,1,passed,1,29,0,no,2,6,,3,0.6666666666666666,5,3,3,3,3,5,5,3,3.6666666666666665,3.6666666666666665,5,5,4,6,3,NA,5,4,3,6,7,4,NA,4,3,6,7,3,3,4,1,1,1,4,68.617,14.683333333333334,4.666666666666667,IE7,1,Q4,30 secs or more,younger than 30,3. Ireland,0.38461538461538464,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,14.683333333333334,8,9,1
28-1-2021 06:59,0,86.46.41.167,100,499,1,28-1-2021 06:59,R_1Dp8cJCFgZ0gxeF,anonymous,EN-GB,1,Chrome,88.0.4324.93,Android 10,320x676,7,7,7,7,7,0,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,13.98,13.356,7,7,0,0,0,0,18.652,7,7,7,7,7,7,0,4,I have underlying problems and are at risk so would be great if I got it,4,4,4,0,,3,7,99,7,7,7,7,7,7,2,2,7,7,7,7,7,7,7,2,2,,51,2,2,,2,2,1,,0,2,Irish ,1,No,VSjgKHrIYN1Mhwg5OEeUiA**,1766315819,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,independence,1,0,0,13.98,13.356,7,7,1,0,failed,1,51,0,no,2,7,No,4,1,7,1,1,7,7,7,7,7,3,5,7,7,7,7,7,NA,7,7,7,7,7,7,NA,7,1,7,7,4,4,4,1,1,1,7,18.652,8.316666666666666,7,IE0,1,Q2,Under 30 secs,50-59,3. Ireland,0.07692307692307693,1,1,0,1,8.316666666666666,2,2,0
28-1-2021 06:59,0,78.18.125.80,100,691,1,28-1-2021 06:59,R_1q7Mu20dh93wzcZ,anonymous,EN-GB,1,Chrome,87.0.4280.141,Android 10,412x915,7,4,3,2,1,0,7,6,3,7,4,3,2,1,0,7,6,3,4,7,7,1,4,7,7,1,4,3,0,0,0,0,27.701,30.108,7,7,85.728,7,7,7,7,7,7,0,1,"Of it protects you, it would be silly not to avail of it. ",4,4,2,0,,2,7,99,7,7,4,7,7,4,1,1,7,7,1,4,1,4,5,0,2,,60,2,5,,2,7,1,,13,1,,2,,VSjgKHrIYN20zcHk7Q-TJQ**,1502633750,IE,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mobile,advice,0,1,0,27.701,30.108,7,7,1,1,passed,1,60,0,no,1,7,,1,0,7,1,1,7,7,7,7,7,3,5,7,4,3,2,1,NA,1,4,1,7,7,6,NA,4,1,7,7,4,4,2,1,1,0,4,85.728,11.516666666666667,4.666666666666667,IE13,0,Q3,30 secs or more,60-69,3. Ireland,0.07692307692307693,1,1,0,1,11.516666666666667,5,7,1
